"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify double booking prevention for the same room on the same dates","14538","Test 07 - Verify double booking prevention","tests.web","Wed Apr 22 11:41:44 UTC 2026","broken","Wed Apr 22 11:41:59 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test verifies that the hotel branding details (like name) are returned correctly.","434","Test 14 - Verify Hotel Branding Information","tests.api","Fri Apr 10 20:06:23 UTC 2026","passed","Fri Apr 10 20:06:23 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This Test Verify that a token can be created and saved successfully","157","Test 01 - Verify Token Is Created Successfully","tests.api","Fri Apr 10 20:06:12 UTC 2026","passed","Fri Apr 10 20:06:12 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test create booking reservation and updating the name of the reservation","504","Test - 07 Verify Updating Booking via API","tests.api","Tue Apr 07 10:32:32 UTC 2026","passed","Tue Apr 07 10:32:33 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"","569","Test 07 - Verify Partial Update via PATCH","tests.api","Thu Mar 26 12:45:17 UTC 2026","passed","Thu Mar 26 12:45:17 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test ensures that the health check endpoint responds within an acceptable timeframe (1.5s).","463","Test 18 - Verify API Response Latency","tests.api","Fri Apr 10 20:06:24 UTC 2026","passed","Fri Apr 10 20:06:25 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"Data-driven test for creating rooms via API","508","Test 05 - Verify Room Creation via API (DDT)","tests.api","Fri Apr 10 20:06:16 UTC 2026","passed","Fri Apr 10 20:06:17 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"","12944","test_11_verify_wrong_dates","","Wed Apr 22 12:54:00 UTC 2026","passed","Wed Apr 22 12:54:12 UTC 2026","","","",""
"This test verifies that a specific booking reservation can be successfully retrieved via the API.","912","Test 02 - Verify Booking Reservation via API","tests.api","Tue Apr 07 10:32:28 UTC 2026","passed","Tue Apr 07 10:32:29 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies the message API is up and returns a valid message count.","715","Test 10 - Verify Message Count API","tests.api","Fri Apr 10 20:06:20 UTC 2026","passed","Fri Apr 10 20:06:21 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that a user can successfully send a contact message","4367","Test 06 - Send Contact Message","tests.web","Wed Apr 22 11:41:39 UTC 2026","passed","Wed Apr 22 11:41:43 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test Verify that an administrator can successfully sign in","2929","Test 02 - Administrator Sign-in with Valid user name and password","tests.web","Wed Apr 22 11:40:55 UTC 2026","passed","Wed Apr 22 11:40:58 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test verifies end-to-end room creation by creating a room via the Admin Dashboard UI and validating the room data via API","0","Test 04 - Admin Creates a New Room","tests.web","Thu Apr 09 13:27:51 UTC 2026","broken","Thu Apr 09 13:27:51 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test verifies that a new room can be successfully created via the API","1184","Test 04 - Verify Create Room via API","tests.api","Tue Apr 07 10:32:29 UTC 2026","passed","Tue Apr 07 10:32:30 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"","74","test_10_verify_footer_text_are_visible","tests.web","Mon Apr 20 19:47:52 UTC 2026","passed","Mon Apr 20 19:47:52 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"Verify double booking prevention for the same room on the same dates","20248","Test 07 - Verify double booking prevention","tests.web","Thu Apr 09 13:28:19 UTC 2026","broken","Thu Apr 09 13:28:39 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"","700","test08_verify_update_booking_resrvertion_name_via_api","tests.api","Sun Apr 05 20:37:10 UTC 2026","failed","Sun Apr 05 20:37:11 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"Check that the message count API returns 200 OK and valid JSON data.","386","Test 13 - Verify Message Count","tests.api","Fri Apr 10 20:06:23 UTC 2026","passed","Fri Apr 10 20:06:23 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that a user can successfully send a contact message","4655","Test 06 - Send Contact Message","tests.web","Thu Apr 09 13:28:14 UTC 2026","passed","Thu Apr 09 13:28:19 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"","22467","test07_verify_update_booking_resrvertion_via_api","tests.api","Sat Apr 04 19:23:09 UTC 2026","passed","Sat Apr 04 19:23:31 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"","250","Test 20 - Verify Hotel Report","tests.api","Fri Apr 10 18:19:24 UTC 2026","broken","Fri Apr 10 18:19:24 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test ensures that the API returns a 409 Conflict when attempting to create a second booking with the same room and dates.","0","Test - 09 Verify Server Blocks Duplicate Booking Creation","tests.api","Tue Apr 07 10:32:33 UTC 2026","broken","Tue Apr 07 10:32:33 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"Data-driven test for creating rooms via API","578","Test 05 - Verify Room Creation via API (DDT)","tests.api","Fri Apr 10 20:06:14 UTC 2026","passed","Fri Apr 10 20:06:15 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that the API returns the correct Content-Type header.","436","Test 19 - Verify Response Headers Content-Type","tests.api","Fri Apr 10 20:06:25 UTC 2026","passed","Fri Apr 10 20:06:25 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test creates a booking and then deletes it to verify the DELETE flow","1169","Test 06 - Verify Delete Booking via API","tests.api","Fri Apr 10 20:06:17 UTC 2026","passed","Fri Apr 10 20:06:18 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test ensures that the API returns a 409 Conflict when attempting to update an existing booking with the exact same room and dates","512","Test - 08 Verify Server Blocks Duplicate Booking Update","tests.api","Tue Apr 07 10:38:11 UTC 2026","failed","Tue Apr 07 10:38:11 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"Verify that the API returns a valid JSON with rooms list","334","Test 11 - Verify Get All Rooms List","tests.api","Fri Apr 10 20:06:21 UTC 2026","passed","Fri Apr 10 20:06:22 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This Test Verify that a token can be created and saved successfully","486","Test 01 - Verify Token Is Created Successfully","tests.api","Tue Apr 07 10:32:27 UTC 2026","passed","Tue Apr 07 10:32:28 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"","18960","test_11_verify_wrong_dates","","Wed Apr 22 21:37:24 UTC 2026","passed","Wed Apr 22 21:37:43 UTC 2026","","","",""
"This test ensures that the API returns 401 Unauthorized when attempting to fetch all bookings without a token.","265","Test 16 - Verify Unauthorized Access to Bookings is Blocked","tests.api","Fri Apr 10 20:06:24 UTC 2026","passed","Fri Apr 10 20:06:24 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This Test Verifies that a booking reservation can be created successfully","10299","Test 03 - Verifying booking reservation","tests.web","Thu Apr 09 13:27:41 UTC 2026","passed","Thu Apr 09 13:27:51 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test ensures that the API returns a 409 Conflict when attempting to create a second booking with the same room and dates.","743","Verify Server Blocks Duplicate Booking Creation","tests.api","Sun Apr 05 19:07:12 UTC 2026","passed","Sun Apr 05 19:07:13 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"","660","test_00_health_check","tests.api","Fri Apr 10 20:06:11 UTC 2026","passed","Fri Apr 10 20:06:12 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"Data-driven test for creating rooms via API","490","Test 05 - Verify Room Creation via API (DDT)","tests.api","Fri Apr 10 20:06:15 UTC 2026","passed","Fri Apr 10 20:06:15 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that a specific booking reservation can be successfully retrieved via the API.","1019","Test 02 - Verify Booking Reservation via API","tests.api","Fri Apr 10 20:06:12 UTC 2026","passed","Fri Apr 10 20:06:13 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test retrieves admin credentials from an external Database, performs a login via the UI, and verifies the Admin Rooms header text.","2966","Test 01 - Verify Admin Login via DB","tests.external_db","Thu Apr 09 13:27:21 UTC 2026","passed","Thu Apr 09 13:27:24 UTC 2026","TestDBHotelBooking","test_db_hotel_booking","",""
"This test verifies that the API returns correct details for room ID 1.","203","Test 15 - Get Specific Room Details","tests.api","Fri Apr 10 20:06:23 UTC 2026","passed","Fri Apr 10 20:06:24 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This Test Verifies that a booking reservation can be created successfully","10420","Test 03 - Verifying booking reservation","tests.web","Wed Apr 22 12:04:56 UTC 2026","passed","Wed Apr 22 12:05:06 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test ensures that the API returns a 409 Conflict when attempting to update an existing booking with the exact same room and dates","710","Test - 08 Verify Server Blocks Duplicate Booking Update","tests.api","Fri Apr 10 20:06:19 UTC 2026","failed","Fri Apr 10 20:06:20 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies that the API returns a list of all existing bookings.","436","Test 16 - Get All Bookings List","tests.api","Fri Apr 10 19:21:03 UTC 2026","failed","Fri Apr 10 19:21:03 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"Verify that the About Us section is present and visible on the landing page","0","Test 09 - Verify About Us section visibility","tests.web","Mon Apr 20 19:28:41 UTC 2026","broken","Mon Apr 20 19:28:41 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"","251","Test 18 - Get All Messages","tests.api","Fri Apr 10 18:19:24 UTC 2026","broken","Fri Apr 10 18:19:24 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test verifies end-to-end room creation by creating a room via the Admin Dashboard UI and validating the room data via API","8185","Test 04 - Admin Creates a New Room","tests.web","Wed Apr 22 11:41:11 UTC 2026","passed","Wed Apr 22 11:41:19 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"","0","test08_verify_create_rooms_from_csv","tests.web","Thu Apr 09 13:28:40 UTC 2026","broken","Thu Apr 09 13:28:40 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test verifies that an administrator can delete a room from the Admin Dashboard","0","Test 05 - Admin Delete a Room","tests.web","Thu Apr 09 13:28:03 UTC 2026","broken","Thu Apr 09 13:28:03 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"","242","Test 19 - Get All Rooms","tests.api","Fri Apr 10 18:19:24 UTC 2026","broken","Fri Apr 10 18:19:24 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"This test ensures that the API returns a 409 Conflict when attempting to create a second booking with the same room and dates.","823","Test - 09 Verify Server Blocks Duplicate Booking Creation","tests.api","Fri Apr 10 20:06:20 UTC 2026","passed","Fri Apr 10 20:06:20 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
"Verifies that the system blocks room reservations for dates that have already passed.","16264","Test 10 - Prevent Reservation in Past Dates","tests.web","Wed Apr 22 12:37:40 UTC 2026","failed","Wed Apr 22 12:37:57 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test verifies that an administrator can delete a room from the Admin Dashboard","14969","Test 05 - Admin Delete a Room","tests.web","Wed Apr 22 11:41:23 UTC 2026","broken","Wed Apr 22 11:41:38 UTC 2026","TestHotelBooking","test_web_hotel_booking","",""
"This test attempts to delete a booking with an invalid ID to verify error handling.","289","Test 17 - Verify Delete Non-Existent Booking Fails","tests.api","Fri Apr 10 20:06:24 UTC 2026","failed","Fri Apr 10 20:06:24 UTC 2026","TestHotelBookingApi","test_api_hotel_booking","",""
